R
82.47
113.79
190.07
202.23
260.38
295.63
305.69
327.82
338.58
351.07
460.04
517.37
528.24
540.27
582.51
595
610.53
620.66
650.91
663.01
674.01
745.13
773.45
782.96
791.5
868.54
877.38
932
941.64
950.96
963.14
1119.7
1235.5
1268.4
1279.5
1289.1
1369.1
1411.3
1463.1
1510.3
1518.9
1544.7
1580.9
1609.9
1697.8
1710.2
1722.8
1737.1
1800.9
1859.5
1869.9
1915.9
1953.3
1990.7
2011.6
2083.7
2148.5
2157.1
2191
2202.9
2215.7
2301.9
2353.5
2364.8
2404.7
2444.6
2461.3
2473.7
2499.8
2510.6
2575.3
2584.1
2656.7
2713.4
2723.6
2745.1
2777.7
2798.4
2808.4
2818.6
2853.7
2879.1
2889.7
2902.4
2934.7
2946.2
2955.3
2967.4
2982
2998.4
3009.4
3069.4
3079
3089.7
3100.5
3128.3
3159.5
3212.1
3221.8
3237.5
3271.5
3285.3
3307.8
3337.8
3353.2
3406.5
3420
3431.6
3445.1
3456.9
3470.8
3482
3498.4
3513.1
3526.8
3552.2
3585
3637.7
3648
3770.9
3781.5
3872.3
3922.6
4012.7
4022.4
4032.5
4043.6
4089.3
4100.9
4114.2
4127.3
4137.1
4159.4
4171.7
4182.8
4213.1
4225.1
4237.1
4288.3
4297.7
4331.9
4344
4362.7
4375.5
4458.8
4477.1
4513.9
4528.8
4539
4555.2
4659.3
4711.9
4723
4756.2
4765.2
4796.4
4839
4848.7
4859.7
4909
4934
4943.2
5027.2
5057.3
5075.2
5087.5
5098.5
5112.8
5124.2
5153.8
5180.3
5200.2
5212.7
5226.8
5265
5276.6
5287.6
5300.8
5334.9
5348.4
5380.2
5403.8
5521.9
5555.1
5593.3
5677.2
5710.4
5719.3
5755.8
6281.3
6325.5
6338.6
6352.6
6369.6
6390.4
6492.7
6506.2
6538.7
6552.2
6565.8
6583.7
6624.1
6714.9
6725
6766.9
6777.5
6807.2
6915.9
6948.3
6963.9
6977.9
7012.4
7027.4
7047.8
7062.9
7074.9
7107.5
7121.8
7143.9
7160.6
7190.1
7219.9
7233.7
7250.2
7279.4
7302.9
7314.5
7347.2
7408.1
7437.9
7450.7
7490.2
7501.5
7572.3
7585.5
7598
7612.8
7625.4
7657.1
7751.2
7761.7
7773.8
7818.3
7830.9
7848.6
7863.6
7930.9
7942.9
8020.4
8030.9
8044.2
8058.7
8070.4
8196.7
8254.3
8278.1
8291.3
8312.5
8356.4
8370.5
8386.3
8426.3
8445.9
8459
8483.5
8514.6
8528.8
8622
8632
8662.8
8676.6
8711.6
8723.3
8735.9
8773.5
8829.9
8843
8857.4
8895.5
8905.8
8916.8
8930.3
8942.8
8979.4
9011
9021.7
9085
9099.4
9126.7
9166.9
9191.6
9216.6
9229.2
9242.8
9253.8
9266.8
9280.4
9321.3
9388.2
9399.8
9409.4
9457.7
9485.7
9497.3
9511.8
9556.2
9587.7
9598.8
9632.6
9643.4
9702.4
9790.1
9836.5
9862.7
9908.1
10041
10054
10069
10083
10097
10123
10212
10239
10250
10261
10274
10302
10315
10328
10351
10381
10401
10410
10438
10467
10478
10493
10557
10585
10595
10618
10650
10726
10921
10934
10973
10983
10996
11006
11019
11063
11079
11143
11167
11177
11193
11246
11272
11309
11331
11341
11355
11422
11441
11450
11472
11515
11529
11540
11550
11588
11601
11620
11638
11651
11692
11816
11825
11851
11867
11881
11920
11932
11982
11993
12036
12049
12059
12076
12092
12308
12318
12669
12681
12706
12769
12780
12794
12847
12905
12949
12997
13009
13033
13309
13444
13483
13498
13511
13645
13818
13828
13842
13852
14266
15470
15486
15533
15545
15591
15639
15684
15737
15820
15956
16092
16107
16118
16138
16182
16263
16274
16299
16405
16453
16481
16526
16539
16571
16581
16633
16694
16736
16746
16881
16943
16953
16965
16974
16991
17032
17053
17067
17078
17090
17101
17131
17178
17192
17202
17216
17249
17261
17271
17280
17317
17328
17340
17380
17405
17417
17437
17475
17519
17527
17578
17587
17612
17623
17634
17644
17688
17701
17740
17750
17761
17773
17878
17899
17910
17920
17932
18195
18208
18219
18231
18273
18333
18344
18355
18381
18390
18485
18496
18522
18586
18646
18658
18717
18739
18748
18892
18904
18978
19046
19056
19310
19321
19638
19649
19659
19669
19751
19759
19771
19804
19814
19915
21652
21663
21694
21705
21717
21729
21744
21762
21790
21817
21853
21939
